destino,tipo,popularidad,precio,clima,idioma,continente,rating,estacion
Nueva York,urbano,media,alto,continental,inglés,América,alto,otoño
Tokio,urbano,baja,medio,templado,japonés,Asia,bajo,verano
París,urbano,baja,medio,templado,francés,Europa,bajo,verano
Dubái,urbano,alta,alto,árido,árabe,Asia,alto,primavera
Londres,urbano,alta,alto,templado,inglés,Europa,medio,verano
Toronto,urbano,alta,bajo,continental,inglés,América,alto,primavera
Singapur,urbano,alta,medio,tropical,inglés,Asia,medio,invierno
Chicago,urbano,baja,alto,continental,inglés,América,alto,verano
Madrid,urbano,media,medio,templado,español,Europa,bajo,primavera
Hong Kong,urbano,media,alto,subtropical,chino,Asia,bajo,primavera
Sídney,urbano,alta,bajo,templado,inglés,Oceanía,medio,otoño
Ámsterdam,urbano,alta,medio,templado,neerlandés,Europa,medio,otoño
Berlín,urbano,media,alto,continental,alemán,Europa,bajo,invierno
Los Ángeles,urbano,baja,medio,templado,inglés,América,alto,otoño
Seúl,urbano,alta,medio,continental,coreano,Asia,alto,primavera
Estocolmo,urbano,media,bajo,continental,sueco,Europa,medio,invierno
Moscú,urbano,alta,bajo,continental,ruso,Europa,medio,verano
Milán,urbano,media,alto,mediterráneo,italiano,Europa,medio,otoño
Bruselas,urbano,baja,medio,oceánico,francés,Europa,medio,verano
Vancouver,urbano,alta,medio,templado,inglés,América,medio,primavera
Singapur Ciudad,urbano,alta,medio,tropical,inglés,Asia,bajo,primavera
París Ciudad,urbano,alta,bajo,oceánico,francés,Europa,bajo,otoño
Bruselas Centro,urbano,baja,medio,oceánico,francés,Europa,medio,verano
Hong Kong Capital,urbano,alta,alto,subtropical,chino,Asia,alto,primavera
Los Ángeles Centro,urbano,baja,medio,mediterráneo,inglés,América,bajo,otoño
Chicago Ciudad,urbano,alta,bajo,continental,inglés,América,alto,verano
Tokio Centro,urbano,media,alto,subtropical,japonés,Asia,bajo,otoño
Moscú Centro,urbano,alta,alto,continental,ruso,Europa,medio,otoño
Estocolmo Capital,urbano,alta,bajo,continental,sueco,Europa,medio,otoño
Nueva York Ciudad,urbano,alta,bajo,subtropical,inglés,América,bajo,primavera
Singapur Ciudad,urbano,alta,medio,tropical,inglés,Asia,bajo,verano
Los Ángeles Capital,urbano,baja,bajo,mediterráneo,inglés,América,alto,otoño
Berlín Centro,urbano,media,bajo,oceánico,alemán,Europa,medio,primavera
Estocolmo Ciudad,urbano,baja,medio,continental,sueco,Europa,bajo,otoño
Tokio Centro Ciudad,urbano,alta,alto,subtropical,japonés,Asia,medio,verano
Hong Kong Capital Centro,urbano,baja,medio,subtropical,chino,Asia,bajo,otoño
Tokio Capital,urbano,alta,alto,subtropical,japonés,Asia,medio,invierno
Los Ángeles Centro Capital,urbano,alta,alto,mediterráneo,inglés,América,alto,verano
Nueva York Ciudad,urbano,baja,alto,subtropical,inglés,América,medio,invierno
Londres Centro,urbano,alta,bajo,oceánico,inglés,Europa,bajo,verano
Estocolmo Capital Centro,urbano,baja,alto,continental,sueco,Europa,medio,invierno
Berlín Centro Capital,urbano,baja,bajo,oceánico,alemán,Europa,bajo,primavera
Ámsterdam Capital,urbano,alta,alto,oceánico,neerlandés,Europa,medio,otoño
Singapur Ciudad Ciudad,urbano,baja,medio,tropical,inglés,Asia,bajo,primavera
Tokio Capital Centro,urbano,alta,bajo,subtropical,japonés,Asia,alto,invierno
Chicago Ciudad Centro,urbano,baja,bajo,continental,inglés,América,medio,verano
Londres Capital,urbano,alta,medio,oceánico,inglés,Europa,alto,verano
Tokio Centro,urbano,media,bajo,subtropical,japonés,Asia,alto,primavera
Toronto Capital,urbano,baja,medio,continental,inglés,América,alto,invierno
Estocolmo Ciudad Centro,urbano,alta,medio,continental,sueco,Europa,alto,invierno
Tokio Capital,urbano,baja,bajo,subtropical,japonés,Asia,alto,otoño
Londres Centro Ciudad,urbano,media,bajo,oceánico,inglés,Europa,alto,verano
Chicago Ciudad Centro Centro,urbano,alta,bajo,continental,inglés,América,bajo,primavera
Madrid Ciudad,urbano,alta,medio,mediterráneo,español,Europa,medio,primavera
Tokio Centro Ciudad Ciudad,urbano,media,medio,subtropical,japonés,Asia,medio,primavera
Berlín Capital,urbano,baja,bajo,oceánico,alemán,Europa,alto,primavera
Singapur Centro,urbano,media,alto,tropical,inglés,Asia,medio,invierno
Los Ángeles Capital Ciudad,urbano,media,alto,mediterráneo,inglés,América,alto,invierno
Hong Kong Capital,urbano,media,medio,subtropical,chino,Asia,bajo,invierno
Dubái Ciudad,urbano,baja,alto,desértico,árabe,Asia,alto,primavera
Cancún,playa,alta,bajo,tropical,español,América,alto,verano
Phuket,playa,media,medio,tropical,tailandés,Asia,bajo,invierno
Río de Janeiro,playa,baja,bajo,tropical,portugués,América,alto,verano
Bali,playa,alta,bajo,tropical,indonesio,Asia,bajo,primavera
Maldivas,playa,alta,alto,tropical,dhivehi,Asia,alto,otoño
Barbados,playa,media,medio,tropical,inglés,América,bajo,invierno
Honolulu,playa,media,medio,tropical,inglés,América,bajo,otoño
Miami,playa,media,alto,subtropical,inglés,América,medio,verano
Ibiza,playa,alta,medio,mediterráneo,español,Europa,alto,otoño
Santorini,playa,alta,bajo,mediterráneo,griego,Europa,medio,primavera
Mykonos,playa,media,medio,mediterráneo,griego,Europa,bajo,otoño
Zanzíbar,playa,alta,medio,tropical,suajili,África,alto,invierno
Boracay,playa,baja,alto,tropical,filipino,Asia,bajo,verano
Palawan,playa,media,bajo,tropical,filipino,Asia,alto,verano
Gold Coast,playa,media,alto,subtropical,inglés,Oceanía,alto,verano
Cabo San Lucas,playa,baja,bajo,desértico,español,América,bajo,otoño
Punta Cana,playa,baja,medio,tropical,español,América,alto,primavera
Cartagena,playa,alta,medio,tropical,español,América,alto,primavera
Creta,playa,media,medio,mediterráneo,griego,Europa,alto,primavera
Niza,playa,baja,bajo,mediterráneo,francés,Europa,medio,invierno
Miami Ciudad,playa,media,bajo,subtropical,inglés,América,alto,primavera
Punta Cana Capital,playa,alta,bajo,tropical,español,América,bajo,primavera
Phuket Ciudad,playa,baja,alto,tropical,tailandés,Asia,bajo,otoño
Cartagena Ciudad,playa,media,alto,tropical,español,América,bajo,invierno
Barbados Ciudad,playa,baja,bajo,tropical,inglés,América,bajo,verano
Ibiza Ciudad,playa,alta,alto,mediterráneo,español,Europa,alto,otoño
Cabo San Lucas Capital,playa,alta,alto,desértico,español,América,medio,primavera
Palawan Capital,playa,baja,bajo,tropical,filipino,Asia,bajo,otoño
Creta Capital,playa,media,medio,mediterráneo,griego,Europa,alto,primavera
Río de Janeiro Capital,playa,baja,alto,tropical,portugués,América,bajo,primavera
Gold Coast Ciudad,playa,alta,medio,subtropical,inglés,Oceanía,bajo,otoño
Zanzíbar Centro,playa,media,bajo,tropical,suajili,África,alto,otoño
Cartagena Ciudad,playa,alta,bajo,tropical,español,América,bajo,otoño
Punta Cana Ciudad,playa,media,alto,tropical,español,América,alto,otoño
Miami Ciudad Ciudad,playa,baja,bajo,subtropical,inglés,América,medio,verano
Barbados Centro,playa,alta,bajo,tropical,inglés,América,medio,invierno
Phuket Centro,playa,alta,bajo,tropical,tailandés,Asia,medio,invierno
Barbados Ciudad Ciudad,playa,media,medio,tropical,inglés,América,bajo,otoño
Creta Capital,playa,baja,alto,mediterráneo,griego,Europa,bajo,primavera
Ibiza Ciudad Centro,playa,alta,alto,mediterráneo,español,Europa,medio,verano
Cartagena Ciudad Capital,playa,media,alto,tropical,español,América,bajo,verano
Barbados Ciudad Ciudad Centro,playa,baja,bajo,tropical,inglés,América,alto,verano
Phuket Centro Capital,playa,alta,bajo,tropical,tailandés,Asia,alto,verano
Creta Centro,playa,alta,medio,mediterráneo,griego,Europa,medio,otoño
Cabo San Lucas Centro,playa,alta,bajo,desértico,español,América,medio,primavera
Punta Cana Capital Ciudad,playa,media,alto,tropical,español,América,bajo,otoño
Ibiza Ciudad,playa,baja,alto,mediterráneo,español,Europa,medio,otoño
Zanzíbar Capital,playa,media,bajo,tropical,suajili,África,bajo,verano
Bali Capital,playa,alta,medio,tropical,indonesio,Asia,alto,otoño
Punta Cana Centro,playa,media,medio,tropical,español,América,alto,verano
Barbados Ciudad Capital,playa,alta,bajo,tropical,inglés,América,bajo,verano
Barbados Ciudad Ciudad Centro Ciudad,playa,media,alto,tropical,inglés,América,alto,otoño
Cartagena Ciudad Capital Ciudad,playa,alta,bajo,tropical,español,América,alto,verano
Creta Centro,playa,baja,bajo,mediterráneo,griego,Europa,alto,verano
Creta Capital Capital,playa,alta,medio,mediterráneo,griego,Europa,medio,otoño
Zanzíbar Capital,playa,media,medio,tropical,suajili,África,medio,primavera
Ibiza Ciudad Centro,playa,media,bajo,mediterráneo,español,Europa,alto,otoño
Miami Ciudad Capital,playa,baja,medio,subtropical,inglés,América,alto,primavera
Honolulu Capital,playa,media,medio,tropical,inglés,América,medio,verano
Phuket Centro Ciudad,playa,alta,bajo,tropical,tailandés,Asia,medio,primavera
Interlaken,montaña,alta,bajo,alpino,alemán,Europa,bajo,verano
